name_1,std_name
Cherkasy,Cherkasy
Chernihiv,Chernihiv
Chernivtsi,Chernivtsi
Crimea,Crimea
Dnipropetrovs'k,Dnipropetrovsk
Donets'k,Donetsk
Kharkiv,Kharkiv
Kherson,Kherson
Khmel'nyts'kyy,Khmelnytskyi
Kiev City,Kyiv City
Kiev,Kyiv
Kirovohrad,Kirovograd
L'viv,Lviv
Luhans'k,Luhansk
Mykolayiv,Mykolaiv
Odessa,Odesa
Poltava,Poltava
Rivne,Rivne
Sevastopol',Sevastopol
Sumy,Sumy
Ivano-Frankivs'k,Ivano-Frankivsk
Ternopil',Ternopil
Transcarpathia,Zakarpattia
Vinnytsya,Vinnytsia
Volyn,Volyn
Zaporizhzhya,Zaporizhzhya
Zhytomyr,Zhytomyr
